DATE,Forecast,Lower CI,Upper CI,COUNTRY/REGION
2025-07-31,1552,-40,3143,other europe
2025-08-31,1608,14,3202,other europe
2025-09-30,1415,-180,3011,other europe
2025-10-31,984,-612,2580,other europe
2025-11-30,1077,-520,2674,other europe
2025-12-31,1676,79,3273,other europe
2024-01-31,1547,445,2650,GERMANY
2024-02-29,1535,192,2878,GERMANY
2024-03-31,1486,-36,3007,GERMANY
2024-04-30,1538,-177,3252,GERMANY
2024-05-31,1301,-584,3186,GERMANY
2024-06-30,1277,-764,3318,GERMANY
2024-07-31,1349,-840,3539,GERMANY
2024-08-31,1322,-1009,3652,GERMANY
2024-09-30,1309,-1156,3774,GERMANY
2024-10-31,1337,-1257,3932,GERMANY
2024-11-30,1395,-1324,4115,GERMANY
2024-12-31,1482,-1359,4322,GERMANY
2025-01-31,1376,-1695,4447,GERMANY
2025-02-28,1366,-1885,4618,GERMANY
2025-03-31,1328,-2092,4747,GERMANY
2025-04-30,1364,-2224,4953,GERMANY
2025-05-31,1169,-2582,4919,GERMANY
2025-06-30,1146,-2761,5052,GERMANY
2025-07-31,1200,-2860,5259,GERMANY
2025-08-31,1178,-3031,5387,GERMANY
2025-09-30,1147,-3209,5502,GERMANY
2025-10-31,1152,-3346,5650,GERMANY
2025-11-30,1149,-3489,5787,GERMANY
2025-12-31,1174,-3602,5950,GERMANY
2024-01-31,70,-335,476,other
2024-02-29,12,-436,459,other
2024-03-31,174,-317,666,other
2024-04-30,121,-375,617,other
2024-05-31,51,-446,549,other
2024-06-30,65,-433,563,other
2024-07-31,83,-414,581,other
2024-08-31,66,-432,563,other
2024-09-30,110,-387,608,other
2024-10-31,107,-391,605,other
2024-11-30,200,-298,697,other
2024-12-31,193,-304,690,other
2025-01-31,158,-342,658,other
2025-02-28,99,-402,600,other
2025-03-31,195,-307,696,other
2025-04-30,136,-366,638,other
2025-05-31,45,-457,547,other
2025-06-30,62,-440,564,other
2025-07-31,77,-425,579,other
2025-08-31,63,-439,565,other
2025-09-30,108,-394,610,other
2025-10-31,107,-395,609,other
2025-11-30,199,-302,701,other
2025-12-31,193,-308,695,other
