Date,Forecasted Load Factor,Lower CI,Upper CI
2024-05-31,0.8266157467662325,0.6773155708132124,0.9759159227192526
2024-06-30,0.8926098887969208,0.6996521032580933,1.0855676743357483
2024-07-31,0.9028146891716278,0.6827285569859202,1.1229008213573357
2024-08-31,0.8894249439140467,0.649335717518483,1.1295141703096103
2024-09-30,0.8220172085358133,0.5656293022312096,1.078405114840417
2024-10-31,0.8465687350849267,0.5760294620329869,1.1171080081368665
2024-11-30,0.8464346354170301,0.5630950648389542,1.129774205995106
2024-12-31,0.9010903894148364,0.6058645849873137,1.1963161938423592
2025-01-31,0.75258919454865,0.446147308730154,1.059031080367146
2025-02-28,0.784940366460335,0.4679669216129717,1.1019138113076985
2025-03-31,0.8026688507843077,0.4755753693855092,1.1297623321831065
2025-04-30,0.7742106008056727,0.4373428262092214,1.111078375402124
2025-05-31,0.8193139838020684,0.4702930949790387,1.1683348726250982
2025-06-30,0.8900457800823681,0.5297884400243442,1.250303120140392
2025-07-31,0.9032982857946856,0.5324345665868991,1.2741620050024722
2025-08-31,0.8912364328410245,0.510225376718934,1.272247488963115
2025-09-30,0.8259135178234579,0.435106708910766,1.2167203267361495
2025-10-31,0.8499114273672915,0.4495881908063345,1.250234663928249
2025-11-30,0.8501742857364928,0.4405607687522007,1.2597878027207847
2025-12-31,0.9050007139304432,0.4862801473977096,1.3237212804631768
2026-01-31,0.7572938642715701,0.3296147013840744,1.1849730271590655
2026-02-28,0.7897812370237364,0.3537198637842603,1.2258426102632125
2026-03-31,0.8081945934787915,0.3639121364678522,1.252477050489731
2026-04-30,0.780230210802096,0.3278770402764256,1.2325833813277662
